AREA|CODE
Aaronsburg, PA|22759
Abbeville, AL|4309
Abbeville, GA|17572
Abbeville, LA|14615
Abbeville, MS|16597
Abbeville, SC|24719
Abbot, ME|19942
Abbotsford, WI|6609
Abbott, PA|20990
Abbottstown, PA|21077
Abell, MD|10858
Aberdeen, ID|23966
Aberdeen, MD|1554
Aberdeen, MS|15895
Aberdeen, NC|2337
Aberdeen, NJ|19818
Aberdeen, OH|6584
Aberdeen, SD|12280
Aberdeen, WA|1546
Abernathy, TX|16107
Abie, NE|23123
Abilene, KS|13529
Abilene, TX|11806
Abingdon, IL|17636
Abingdon, MD|1093
Abingdon, VA|1375
Abington Township, PA|6796
Abington, MA|1971
Abington, PA|2074
Abita Springs, LA|14708
Abram-Perezville, TX|24552
Abrams, WI|18019
Absecon, NJ|3266
Acampo, CA|10594
Accident, MD|7417
Accokeek, MD|4021
Accomac, VA|18571
Accord, NY|9774
Achille, OK|23561
Ackley, IA|17819
Ackworth, IA|21065
Acme, WA|9702
Acres Green, CO|6949
Acton, CA|4931
Acton, MA|1436
Acton, ME|17810
Acushnet, MA|2816
Acworth, GA|11900
Acworth, NH|16776
Ada, MN|15731
Ada, OH|3256
Ada, OK|1309
Adair Village, OR|11273
Adair, IA|19676
Adair, IL|21080
Adair, OK|7496
Adairsville, GA|12816
Adairville, KY|18631
Adams Center, NY|8656
Adams Run, SC|7731
Adams Township, PA|15740
Adams, MN|19001
Adams, NE|18439
Adams, OR|19775
Adams, TN|9743
Adams, WI|6087
Adamsburg, PA|10637
Adamstown, MD|6010
Adamstown, PA|9117
Adamsville, AL|4414
Adamsville, OH|18653
Adamsville, PA|22997
Adamsville, TN|13280
Addieville, IL|20202
Addington, OK|23246
Addis, LA|16743
Addison Township, PA|18544
Addison, AL|7801
Addison, IL|12169
Addison, ME|19453
Addison, MI|15549
Addison, TX|3325
Addison, VT|7907
Addison, WI|5506
Addy, WA|16988
Addyston, OH|11510
Adel, GA|13948
Adel, IA|3661
Adelanto, CA|1095
Adeline, IL|23037
Adell, WI|11112
Adelphi, MD|3033
Adelphi, OH|11277
Adena, OH|22666
Adin, CA|10892
Adolphus, KY|18542
Adona, AR|21246
Adrian Township, MI|12400
Adrian, GA|22543
Adrian, MN|15742
Adrian, MO|16123
Adrian, OR|23156
Advance, NC|2758
Affton, MO|1637
Afton, IA|21645
Afton, MI|20223
Afton, MN|9023
Afton, OK|4647
Afton, VA|18217
Afton, WY|14187
Agate, CO|11017
Agawam, MA|1928
Agency, IA|23047
Agness, OR|20691
Agoura Hills, CA|1490
Agra, OK|7876
Agua Dulce, TX|24669
Aguanga, CA|9196
Aguila, AZ|8825
Aguilar, CO|19362
Ahmeek, MI|22888
Ahoskie, NC|3015
Ahwahnee, CA|6809
Aiea, HI|763
Aiken, SC|433
Ailey, GA|21668
Ainsworth, IA|18938
Ainsworth, NE|19762
Airport Drive, MO|24166
Airville, PA|6316
Airway Heights, WA|10236
Aitkin, MN|15829
Ajo, AZ|6332
Akeley, MN|18942
Akron, CO|15376
Akron, IA|6659
Akron, IN|16309
Akron, MI|17225
Akron, NY|7869
Akron, OH|95
Akron, PA|6328
Alabama, NY|6787
Alabaster, AL|1269
Alachua, FL|12863
Alamance, NC|21395
Alameda, CA|417
Alamo Heights, TX|13482
Alamo, CA|1889
Alamo, GA|18072
Alamo, NV|10367
Alamo, TN|24011
Alamo, TX|13589
Alamogordo, NM|12172
Alamosa, CO|2148
Alanson, MI|14831
Alapaha, GA|19870
Alba, MI|23247
Alba, PA|22414
Alba, TX|24319
Albany Township, PA|7684
Albany, CA|1681
Albany, GA|11858
Albany, IL|18714
Albany, IN|16086
Albany, KY|14740
Albany, LA|17331
Albany, ME|24204
Albany, MN|6831
Albany, NH|15433
Albany, NY|226
Albany, OH|5780
Albany, OR|527
Albany, TX|24596
Albany, WI|18564
Albemarle, NC|1390
Albers, IL|22300
Albert City, IA|18649
Albert Lea, MN|12785
Alberta, AL|20477
Alberta, MN|20976
Alberta, VA|18586
Albertson, NC|11158
Albertson, NY|5946
Albertville, AL|1170
Albertville, MN|3677
Albia, IA|17495
Albin, WY|24151
Albion, CA|9515
Albion, IA|21801
Albion, IL|17691
Albion, IN|16031
Albion, ME|18251
Albion, MI|14652
Albion, NE|17793
Albion, NY|6855
Albion, PA|7790
Albion, WI|7044
Alborn, MN|10255
Albright, WV|19085
Albuquerque, NM|11737
Alburgh, VT|7413
Alburnett, IA|22175
Alburtis, PA|6685
Alcoa, TN|3856
Alcolu, SC|10722
Alda, NE|21095
Aldan, PA|5055
Alden, IA|16451
Alden, MI|23755
Alden, MN|22588
Alderpoint, CA|21718
Alderson, OK|11131
Alderson, WV|18717
Aldie, VA|3041
Aldine, TX|14642
Aldrich, MN|21449
Aledo, IL|15827
Aledo, TX|8674
Aleppo Township, PA|7633
Alex, OK|9912
Alexander City, AL|12614
Alexander, AR|10059
Alexander, IA|20639
Alexander, IL|19645
Alexander, ME|21046
Alexander, NC|8158
Alexandria Bay, NY|10813
Alexandria Township, NJ|4594
Alexandria, AL|7116
Alexandria, IN|13761
Alexandria, KY|2209
Alexandria, LA|12007
Alexandria, MN|3220
Alexandria, NE|21063
Alexandria, NH|16403
Alexandria, NY|7712
Alexandria, OH|6490
Alexandria, PA|11285
Alexandria, TN|16633
Alexandria, VA|129
Alexis, IL|20163
Alexis, NC|9954
Alford, FL|16604
Alford, MA|9832
Alfred, ME|17679
Alger, MI|15771
Alger, OH|8855
Alger, WA|10700
Algoma, WI|3411
Algona, IA|15613
Algona, WA|6393
Algonac, MI|12962
Algonquin, IL|12413
Algood, TN|16724
Alhambra, CA|293
Alhambra, IL|17168
Alice, TX|13595
Aliceville, AL|16985
Alicia, AR|22863
Aline, OK|20309
Aliquippa, PA|3073
Aliso Viejo, CA|661
Allamuchy Township, NJ|23930
Allamuchy-Panther Valley, NJ|6103
Allardt, TN|17432
Alledonia, OH|21229
Allegan, MI|12776
Allegany Township, PA|19510
Allegany, OR|23428
Alleghany, CA|10818
Allegheny Township, PA|3192
Alleman, IA|10441
Allen Park, MI|12311
Allen Township, PA|4895
Allen, KY|20248
Allen, MD|23456
Allen, MI|18887
Allen, NE|23359
Allen, NY|8882
Allen, OK|8183
Allen, TX|262
Allendale Township, MI|12523
Allendale, IL|19425
Allendale, NJ|4238
Allendale, SC|17631
Allenhurst, GA|15944
Allenhurst, NJ|9830
Allenspark, CO|10988
Allenstown, NH|16336
Allensville, KY|19681
Allenton, MI|16104
Allentown, GA|22172
Allentown, NJ|7363
Allentown, PA|164
Allenwood, NJ|8962
Allerton, IA|19487
Allerton, IL|21660
Allgood, AL|22682
Alliance, NC|21566
Alliance, NE|15065
Alliance, OH|930
Allison Township, PA|19693
Allison, IA|18980
Allons, TN|17056
Allouez, MI|20974
Allouez, WI|2211
Alloway Township, NJ|10345
Allport, AR|23756
Allyn, WA|7449
Alma Center, WI|23757
Alma, AR|6099
Alma, CO|11423
Alma, GA|17493
Alma, IL|19636
Alma, MI|14662
Alma, NE|23030
Alma, NY|8718
Alma, TX|10171
Alma, WI|18370
Almedia, PA|9421
Almena, WI|18882
Almira, WA|20807
Almo, KY|23758
Almond, WI|18029
Almont, CO|21193
Almont, MI|14764
Almyra, AR|18864
Alna, ME|19672
Aloha, OR|568
Alondra Park, CA|3492
Alorton, IL|16612
Alpaugh, CA|8562
Alpena, AR|18147
Alpena, MI|12533
Alpha, IL|22423
Alpha, KY|20724
Alpha, MI|23248
Alpha, MN|22022
Alpha, NJ|6565
Alpharetta, GA|12115
Alpine Township, MI|17076
Alpine, AZ|22577
Alpine, CA|2492
Alpine, NJ|8996
Alpine, TX|13875
Alpine, UT|13873
Alpine, WY|14506
Alsace Township, PA|5259
Alsea, OR|9322
Alsip, IL|12564
Alstead, NH|16334
Alston, GA|21894
Alta Vista, IA|19242
Alta, CA|10364
Alta, IA|15366
Altadena, CA|860
Altamahaw, NC|20527
Altamont, IL|17080
Altamont, KS|18195
Altamont, PA|20292
Altamonte Springs, FL|12020
Altavista, VA|6947
Altha, FL|17514
Altheimer, AR|22645
Altmar, NY|21977
Alto Pass, IL|21945
Alto, GA|15120
Alto, NM|13363
Alton North, TX|24557
Alton, IA|18024
Alton, IL|12532
Alton, ME|19591
Alton, NH|13304
Alton, TX|24518
Alton, VA|8131
Altona, IL|19792
Altoona, AL|21039
Altoona, FL|16414
Altoona, IA|2331
Altoona, PA|677
Altoona, WI|4234
Altura, MN|22397
Alturas, CA|5538
Altus, AR|21786
Altus, OK|2608
Alum Bridge, WV|20282
Alum Creek, WV|17684
Alum Rock, CA|2218
Alva, FL|14185
Alva, OK|14309
Alvada, OH|23759
Alvarado, MN|21862
Alvarado, TX|8633
Alvaton, KY|14335
Alvin, IL|21078
Alvin, TX|12480
Alvo, NE|20336
Alvord, IA|20358
Alvord, TX|17115
Alvordton, OH|8339
Ama, LA|18607
Amado, AZ|6222
Amador City, CA|11247
Amagansett, NY|9748
Amagon, AR|22064
Amana, IA|20501
Amanda Park, WA|10212
Amanda, OH|4650
Amargosa Valley, NV|9533
Amarillo, TX|11772
Amber, OK|9963
Amberg, WI|10592
Amberley, OH|5296
Ambler, PA|3979
Amboy, CA|22986
Amboy, IL|17833
Amboy, IN|16580
Amboy, MN|10058
Amboy, NY|8283
Amboy, WA|11141
Ambridge, PA|3711
Ambrose, GA|16178
Amelia Court House, VA|13925
Amelia, OH|2321
Amenia, ND|24297
American Canyon, CA|1707
American Falls, ID|24687
American Fork, UT|13657
Americus, GA|12420
Amery, WI|3322
Ames, IA|437
Ames, NE|21138
Ames, NY|23660
Ames, OK|18985
Amesville, OH|11560
Amherst Junction, WI|17964
Amherst, CO|21172
Amherst, MA|802
Amherst, ME|21600
Amherst, NE|20203
Amherst, NH|12898
Amherst, NY|165
Amherst, OH|3363
Amherst, VA|3562
Amherst, WI|18122
Amherstdale, WV|17536
Amissville, VA|4526
