Date,"Berkeley, CA","Oakland, CA","Emeryville, CA","Dublin, CA","San Ramon, CA","Fremont, CA"
2014-01-31,,,,2500.0,3000.0,2395.0
2014-02-28,,,,2500.0,2975.0,2325.0
2014-03-31,,,,2587.5,2950.0,2395.0
2014-04-30,,,,2600.0,3000.0,2475.0
2014-05-31,,,,2880.0,3000.0,2500.0
2014-06-30,,,,2750.0,3000.0,2495.0
2014-07-31,,,,2757.0,3200.0,2600.0
2014-08-31,,,,2850.0,3295.0,2600.0
2014-09-30,,2300.0,,2897.5,3200.0,2687.5
2014-10-31,,2385.0,,2755.0,3000.0,2600.0
2014-11-30,,2300.0,,2997.5,3050.0,2600.0
2014-12-31,,2272.5,,3075.0,3000.0,2700.0
2015-01-31,,2297.5,,2950.0,3000.0,2475.0
2015-02-28,,2400.0,,2800.0,3150.0,2525.0
2015-03-31,,2400.0,,2897.5,3200.0,2595.0
2015-04-30,,2499.0,,2800.0,3100.0,2750.0
2015-05-31,,2550.0,,2872.5,3400.0,2825.0
2015-06-30,,2450.0,,3200.0,3450.0,2950.0
2015-07-31,,2600.0,,3125.0,3500.0,2995.0
2015-08-31,,2625.0,,3100.0,3390.0,3000.0
2015-09-30,,2897.5,,3000.0,3250.0,3000.0
2015-10-31,,2995.0,,2800.0,3300.0,2999.5
2015-11-30,,2750.0,,2900.0,3200.0,3000.0
2015-12-31,,2800.0,,3100.0,3150.0,2900.0
2016-01-31,,2800.0,,3200.0,3100.0,2895.0
2016-02-29,,2800.0,,3197.5,3200.0,2977.5
2016-03-31,,2850.0,,2995.0,3495.0,2900.0
2016-04-30,,2850.0,,3100.0,3400.0,2875.0
2016-05-31,,3000.0,,3050.0,3500.0,2995.0
2016-06-30,,3000.0,,2995.0,3550.0,3100.0
2016-07-31,,3197.0,,3200.0,3500.0,3100.0
2016-08-31,,2850.0,,3245.0,3500.0,2990.0
2016-09-30,,2972.5,,3199.5,3200.0,3100.0
2016-10-31,,2695.0,,3095.0,3100.0,2999.5
2016-11-30,3295.0,2800.0,,2985.0,3300.0,2950.0
2016-12-31,3450.0,2925.0,,3100.0,3450.0,2950.0
2017-01-31,3645.0,2850.0,2475.0,3200.0,3250.0,2995.0
2017-02-28,3275.0,2900.0,2500.0,3000.0,3200.0,3100.0
2017-03-31,3350.0,2850.0,2500.0,3000.0,3200.0,3050.0
2017-04-30,3175.0,2850.0,2600.0,3100.0,3450.0,3150.0
2017-05-31,3500.0,2900.0,2747.5,3200.0,3600.0,3200.0
2017-06-30,3497.5,2950.0,3022.5,3300.0,3750.0,3200.0
2017-07-31,3800.0,2950.0,2950.0,3200.0,3550.0,3200.0
2017-08-31,3800.0,2900.0,2800.0,3250.0,3495.0,3200.0
2017-09-30,3400.0,2999.0,2850.0,3200.0,3500.0,3195.0
2017-10-31,3300.0,3000.0,2675.0,3197.5,3400.0,3100.0
2017-11-30,3375.0,2999.0,2847.5,3200.0,3395.0,3000.0
2017-12-31,3372.5,2949.5,3100.0,3300.0,3400.0,3050.0
2018-01-31,3500.0,2900.0,2900.0,3295.0,3225.0,3000.0
2018-02-28,3499.5,2800.0,2895.0,3272.5,3125.0,3200.0
2018-03-31,3650.0,2800.0,2772.5,3400.0,3397.5,3200.0
2018-04-30,3550.0,2900.0,2747.5,3400.0,3495.0,3300.0
2018-05-31,,3092.5,2500.0,3400.0,3600.0,3395.0
2018-06-30,,3150.0,2500.0,3325.0,3650.0,3400.0
