Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,0.996259947,-0.5%,-2.0%,Dublin,42,-40.8%,20.0%,66,6.5%,164.0%,50,29,33,366.447368421,-0.011273624,0.212924208,649999,0.048385484,0.250238507,370.498861105,0.043604122,0.327508647,$613K,-11.8%,24.2%,1.6,0.7,0.9,65,124.1%,32.7%,1/1/2014,30,1/31/2014,0.121212121,-0.056207234,0.001212121,All Residential,"Dublin, CA",place,0.380952381,-0.097920858,-0.304761905,California,CA,5159
Value,,1,1.041203225,0.9%,4.8%,Alameda,54,10.2%,50.0%,49,-12.5%,-70.1%,18,1,-23,358.192846399,0.129783888,0.151289881,527500,0.101252610,0.004761905,362.300135433,0.063676039,0.238144522,$562K,14.6%,27.8%,0.9,-0.2,-3.7,49,4.3%,-22.2%,10/1/2012,30,10/31/2012,0.244897959,0.066326531,-0.108760577,All Residential,"Alameda, CA",place,0.592592593,0.000755858,0.342592593,California,CA,117
Value,,1,1.179809405,2.2%,4.1%,Berkeley,83,38.3%,12.2%,84,29.2%,0.0%,16,0,0,546.731611562,0.014144647,0.102504614,800500,-0.085142857,0.054677207,609.756097561,-0.015474773,0.086675564,$955K,-2.7%,24.4%,1,-0.1,-0.1,112,57.7%,24.4%,5/1/2015,30,5/31/2015,0.095238095,-0.012454212,-0.083333333,All Residential,"Berkeley, CA",place,0.831325301,0.014658635,0.047541517,California,CA,1590
Value,,1,1.009612304,-0.7%,-1.1%,Fremont,203,1.5%,10.9%,253,-9.3%,0.4%,19,3,1,564.347290640,0.029734694,0.095008945,850000,0.000131782,0.133333333,548.340548341,-0.021763389,0.015341578,$870K,4.2%,7.7%,1.2,-0.2,-0.2,209,-11.8%,-2.8%,9/1/2016,30,9/30/2016,0.300395257,-0.018601159,0.054363511,All Residential,"Fremont, CA",place,0.532019704,-0.107980296,-0.088859416,California,CA,6671
Value,,1,1.053137296,-3.7%,3.0%,Berkeley,77,-10.5%,2.7%,53,-30.3%,12.8%,30,13,3,459.619172685,-0.012952374,0.268786202,650000,0.062091503,0.301431575,481.047549771,-0.107685795,0.189499396,$760K,-0.7%,16.9%,0.7,-0.2,0.1,23,-42.5%,27.8%,12/1/2013,30,12/31/2013,0.188679245,0.083416087,0.061019671,All Residential,"Berkeley, CA",place,0.571428571,-0.172757475,0.051428571,California,CA,1590
Value,,1,0.999735784,-0.3%,0.9%,Dublin,41,-35.9%,10.8%,44,51.7%,-12.0%,31,7,-15,404.218795953,-0.025099869,0.053880909,770940,0.014461478,0.101344430,392.418579818,-0.049687996,0.119471026,$765K,5.6%,3.4%,1.1,0.6,-0.3,58,132.0%,-1.7%,1/1/2016,30,1/31/2016,0.181818182,0.009404389,0.101818182,All Residential,"Dublin, CA",place,0.439024390,0.001524390,0.087673039,California,CA,5159
Value,,1,1.008551927,0.1%,0.6%,San Ramon,110,-9.1%,2.8%,83,-13.5%,-44.3%,14,-2,-8,460.270498732,-0.057845068,0.046358885,875000,0,-0.011299435,484.743003602,0.044061854,0.054842927,$950K,0.8%,18.7%,0.8,0,-0.6,95,-12.0%,-14.4%,8/1/2017,30,8/31/2017,0.228915663,-0.010667671,-0.153634673,All Residential,"San Ramon, CA",place,0.554545455,0.033884298,0.059218352,California,CA,17519
Value,,1,1.034902249,-0.3%,-1.2%,Fremont,214,35.4%,2.4%,162,-10.0%,-32.2%,12,0,1,585.768917819,-0.027988730,0.047887152,928888,0.033374569,0.107137068,613.499939349,0.015544861,0.070298689,$908K,-2.8%,5.1%,0.8,-0.3,-0.3,225,0.0%,-10.4%,5/1/2017,30,5/31/2017,0.172839506,0.011728395,-0.011260912,All Residential,"Fremont, CA",place,0.714953271,-0.038211286,-0.088874480,California,CA,6671
Value,,1,1.053694822,-1.6%,4.5%,Fremont,195,-4.9%,-14.5%,230,31.4%,-10.9%,13,1,-3,408.965235174,-0.012484364,0.236330428,599900,-0.032419355,0.056370270,425.904317386,0.012069428,0.288345566,$681K,4.0%,33.4%,1.2,0.3,0.100000000,267,-0.4%,24.2%,6/1/2013,30,6/30/2013,0.152173913,0.026459627,-0.002864847,All Residential,"Fremont, CA",place,0.8,-0.034146341,0.260526316,California,CA,6671
Value,,1,1.209473390,2.6%,1.4%,Berkeley,72,16.1%,12.5%,113,29.9%,37.8%,15,0,0,693.181818182,0.106265345,0.128957137,1150000,-0.003466205,0.155778894,774.701422370,0.049044033,0.123370901,"$1,308K",3.4%,6.6%,1.6,0.2,0.3,125,35.9%,9.6%,5/1/2018,30,5/31/2018,0.141592920,-0.053809378,-0.004748543,All Residential,"Berkeley, CA",place,0.875,0.116935484,0,California,CA,1590
