Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.033894060,0.1%,1.4%,Alameda,8,-11.1%,60.0%,2,-50.0%,-50.0%,19,-2,4,330.829070759,0.062991373,-0.008579978,338500,-0.057103064,0.091935484,330.213424358,-0.056848614,0.237092243,$395K,19.7%,33.9%,0.3,-0.1,-0.5,4,-20.0%,-20.0%,12/1/2013,30,12/31/2013,0.5,0.25,0.25,Condo/Co-op,"Alameda, CA",place,0.875,0.208333333,0.075,California,CA,117
Value,,1,0.997505537,1.0%,1.0%,San Ramon,25,56.3%,8.7%,24,-20.0%,-71.1%,33,11,-21,237.777777778,-0.048888889,-0.026661878,239900,-0.040016006,0.056828194,252.902155887,0.070089343,0.103426604,$245K,1.2%,-5.0%,1,-0.9,-2.6,27,0.0%,-10.0%,3/1/2012,30,3/31/2012,0.125,-0.075,-0.152108434,Condo/Co-op,"San Ramon, CA",place,0.48,0.2925,0.219130435,California,CA,17519
Value,,1,1.048299977,3.0%,-3.4%,Alameda,8,14.3%,-11.1%,10,-9.1%,25.0%,14,-5,-3,386.834586466,0.007104167,0.160917926,349000,-0.240478781,0.067278287,389.917434872,-0.031495404,0.077688466,$415K,29.9%,1.1%,1.3,-0.3,0.4,7,-50.0%,-12.5%,10/1/2014,30,10/31/2014,0.2,0.109090909,0.075,Condo/Co-op,"Alameda, CA",place,0.625,0.053571429,-0.041666667,California,CA,117
Value,,1,1.037057897,2.5%,-1.3%,Berkeley,8,0.0%,0.0%,8,-50.0%,-38.5%,22,-2,-22,527.028383734,0.170546550,0.128286117,737000,0.709976798,0.865822785,525.747965946,-0.027653179,0.265714360,$483K,14.2%,15.6%,1,-1,-0.6,4,-50.0%,-55.6%,11/1/2013,30,11/30/2013,0.125,-0.1875,-0.182692308,Condo/Co-op,"Berkeley, CA",place,0.625,0.125,0.25,California,CA,1590
Value,,1,1.115902150,-2.6%,-0.5%,Berkeley,5,-54.5%,-16.7%,4,-69.2%,-33.3%,14,0,0,721.907300209,0.054489532,0.079722223,1126500,0.639737991,0.959130435,921.248142645,0.283589957,0.326248630,$625K,-21.4%,4.2%,0.8,-0.4,-0.2,2,-66.7%,-60.0%,11/1/2017,30,11/30/2017,0.25,0.019230769,0.083333333,Condo/Co-op,"Berkeley, CA",place,0.8,-0.018181818,-0.2,California,CA,1590
Value,,1,1.081436947,3.4%,3.3%,Alameda,11,37.5%,37.5%,8,-42.9%,-20.0%,17,2,3,459.056788512,-0.020086203,0.186700478,464000,0.198966408,0.329512894,506.607929515,0.042237949,0.299269754,$460K,-7.7%,11.0%,0.7,-1.1,-0.6,6,-40.0%,-14.3%,10/1/2015,30,10/31/2015,0.125,-0.017857143,-0.075,Condo/Co-op,"Alameda, CA",place,0.727272727,-0.147727273,0.102272727,California,CA,117
Value,,1,1,-17.6%,-11.2%,Berkeley,5,-58.3%,-61.5%,6,-45.5%,-64.7%,36,21,21,666.181844495,0.196313256,0.453093112,552000,0.057471264,0.074975657,725.915875170,0.174417424,0.329839232,$565K,-14.7%,-5.8%,1.2,0.3,-0.1,4,-50.0%,-60.0%,10/1/2015,30,10/31/2015,0.5,0.318181818,0.205882353,Condo/Co-op,"Berkeley, CA",place,0.2,-0.716666667,-0.646153846,California,CA,1590
Value,,1,1.011185744,0.6%,3.5%,Alameda,7,16.7%,16.7%,2,-50.0%,-88.2%,12,-18,-157,302.678571429,0.125559590,0.085667790,325000,-0.109589041,0.126516464,300.374531835,0.110216923,0.276591760,$345K,6.2%,36.6%,0.3,-0.4,-2.5,7,40.0%,-12.5%,2/1/2013,30,2/28/2013,0.5,,0.264705882,Condo/Co-op,"Alameda, CA",place,0.428571429,-0.238095238,0.428571429,California,CA,117
Value,,1,1.145833949,2.5%,2.0%,Berkeley,14,-6.7%,40.0%,6,-62.5%,-40.0%,15,-1,0,829.693383540,0.180305749,0.471322933,637000,0.027419355,0.029079160,816.326530612,0.031539889,0.225405520,$743K,2.4%,-5.0%,0.4,-0.7,-0.6,4,-84.0%,-63.6%,7/1/2017,30,7/31/2017,0.5,,,Condo/Co-op,"Berkeley, CA",place,1,0.2,0.2,California,CA,1590
Value,,1,1.103055379,2.2%,6.0%,Oakland,36,9.1%,-14.3%,51,41.7%,6.3%,14,-3,-12,512.739060690,-0.016333218,0.239205024,434444,-0.093018789,0.128425974,566.037735849,0.073266356,0.349364430,$560K,13.1%,45.5%,1.4,0.3,0.3,64,33.3%,4.9%,2/1/2016,30,2/29/2016,0.078431373,-0.004901961,-0.004901961,Condo/Co-op,"Oakland, CA",place,0.861111111,-0.017676768,0.289682540,California,CA,13654
Value,,1,1.206254249,7.5%,14.6%,Berkeley,8,-61.9%,-33.3%,11,-21.4%,10.0%,15,0,-5,536.480686695,-0.010580226,0.007821570,425000,-0.276534173,-0.039546937,722.768730833,0.013171164,0.287362691,$753K,24.8%,62.5%,1.4,0.7,0.6,7,-61.1%,-41.7%,8/1/2015,30,8/31/2015,0.090909091,0.019480519,-0.509090909,Condo/Co-op,"Berkeley, CA",place,0.875,-0.029761905,0.208333333,California,CA,1590
Value,,1,1.009340855,0.6%,10.0%,Alameda,10,233.3%,150.0%,15,-31.8%,-65.9%,19,7,-176,254.930578643,-0.009412609,0.069214524,236450,-0.281306991,0.077466393,256.015347927,-0.078146286,-0.081240540,$299K,15.9%,35.9%,1.5,-5.8,-9.5,6,-60.0%,-40.0%,5/1/2012,30,5/31/2012,0.133333333,-0.003030303,-0.162121212,Condo/Co-op,"Alameda, CA",place,0.5,-0.166666667,0.5,California,CA,117
