Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.085680483,-2.5%,0.5%,Alameda,24,-36.8%,-22.6%,20,-4.8%,-35.5%,15,0,0,435.011269722,0.030284416,0.031655766,798500,0.150576369,0.233204633,477.736968580,0.049239771,0.204705479,$768K,-3.3%,4.4%,0.8,0.2,-0.2,27,-15.6%,-28.9%,4/1/2014,30,4/30/2014,0.1,0.004761905,-0.125806452,Single Family Residential,"Alameda, CA",place,0.833333333,0.043859649,0.026881720,California,CA,117
Value,,1,1.010083055,0.7%,0.4%,San Ramon,68,30.8%,28.3%,45,-23.7%,7.1%,15,-2,2,373.084988508,-0.006819533,0.115346042,797000,-0.089142857,0.180915691,382.689243961,0.078801599,0.173580348,$840K,4.5%,14.3%,0.7,-0.4,-0.1,36,-45.5%,-2.7%,11/1/2013,30,11/30/2013,0.111111111,-0.143126177,-0.031746032,Single Family Residential,"San Ramon, CA",place,0.558823529,0.078054299,0.011653718,California,CA,17519
Value,,1,1.014706539,-2.8%,-2.7%,Oakland,175,-25.5%,1.7%,327,2.2%,22.9%,50,23,24,298.864315601,0.192891903,0.214664481,397000,0.203030303,0.160818713,268.325487559,-0.147092988,0.114706938,$370K,-19.6%,0.7%,1.9,0.5,0.4,214,86.1%,-10.1%,1/1/2014,30,1/31/2014,0.195718654,0.014468654,0.030305121,Single Family Residential,"Oakland, CA",place,0.48,-0.12,-0.130465116,California,CA,13654
Value,,1,1.096221882,0.6%,0.6%,Oakland,259,-15.4%,-6.8%,417,-5.9%,-11.7%,17,-1,1,318.959107807,-0.056477071,0.067355952,455000,-0.069529652,0.052023121,360.081952732,-0.065953910,0.039893096,$605K,4.7%,16.3%,1.6,0.2,-0.100000000,280,-13.8%,-9.1%,8/1/2014,30,8/31/2014,0.199040767,0.020711196,-0.023416860,Single Family Residential,"Oakland, CA",place,0.745173745,0.013147601,0.014957918,California,CA,13654
Value,,1,1.002131503,0.0%,-1.0%,Dublin,54,-3.6%,50.0%,62,0.0%,55.0%,22,5,10,447.261244268,0.099025130,0.072824029,911370,-0.078493428,0.059855797,443.557526135,0.050018724,0.078252388,$911K,-0.9%,0.4%,1.1,0,0,56,19.1%,30.2%,9/1/2016,30,9/30/2016,0.322580645,-0.112903226,0.097580645,Single Family Residential,"Dublin, CA",place,0.462962963,-0.090608466,-0.231481481,California,CA,5159
Value,,1,1.000525413,-0.1%,-0.9%,San Ramon,32,-30.4%,6.7%,40,37.9%,-4.8%,24,11,8,396.346306593,0.020512179,0.033398955,967995,0.107260717,0.087634831,409.375634003,-0.014108674,0.105952807,$885K,0.9%,3.6%,1.3,0.7,-0.100000000,53,231.3%,-7.0%,1/1/2015,30,1/31/2015,0.075,-0.200862069,-0.067857143,Single Family Residential,"San Ramon, CA",place,0.53125,0.074728261,0.064583333,California,CA,17519
Value,,1,1.015505658,-1.9%,1.6%,Berkeley,52,73.3%,8.3%,88,-2.2%,-26.7%,17,-4,-1,388.158178514,0.026343763,-0.027973637,669950,0.218090909,0.098278689,400.739079385,0.081365157,-0.092284228,$582K,-4.5%,-11.3%,1.7,-1.3,-0.8,60,5.3%,-20.0%,3/1/2012,30,3/31/2012,0.352272727,0.163383838,-0.006060606,Single Family Residential,"Berkeley, CA",place,0.576923077,0.043589744,0.076923077,California,CA,1590
Value,,1,0.991662420,-0.6%,-1.2%,Dublin,35,-16.7%,-16.7%,47,-21.7%,88.0%,26,11,3,352.139163141,-0.007528967,0.208943781,825000,-0.011620942,0.427488762,327.085533263,-0.028942778,0.103928111,$825K,12.9%,43.4%,1.3,-0.100000000,0.7,27,-46.0%,-3.6%,11/1/2013,30,11/30/2013,0.106382979,-0.076950355,-0.133617021,Single Family Residential,"Dublin, CA",place,0.314285714,-0.138095238,-0.138095238,California,CA,5159
Value,,1,1.029225338,1.1%,-0.5%,Dublin,40,25.0%,-21.6%,51,27.5%,24.4%,8,-2,-1,418.362362802,-0.004070141,0.068537594,912000,-0.025630616,-0.072699542,436.194752192,0.055087309,0.111656603,$893K,-9.7%,-5.6%,1.3,0,0.5,64,25.5%,3.2%,4/1/2016,30,4/30/2016,0.156862745,-0.143137255,0.034911526,Single Family Residential,"Dublin, CA",place,0.75,0.09375,0.024509804,California,CA,5159
Value,,1,1.088537605,0.3%,0.2%,Alameda,28,16.7%,-24.3%,23,15.0%,-37.8%,15,0,1,454.045129334,0.043754866,0.119427628,829000,0.038196619,0.278334618,510.137018821,0.067819851,0.073177136,$758K,-1.2%,4.0%,0.8,0,-0.2,41,51.9%,-10.9%,5/1/2014,30,5/31/2014,0.086956522,-0.013043478,-0.102232667,Single Family Residential,"Alameda, CA",place,0.75,-0.083333333,-0.114864865,California,CA,117
Value,,1,1.133544835,1.1%,5.3%,Alameda,37,19.4%,23.3%,41,5.1%,28.1%,15,1,0,543.537414966,-0.069391171,0.016981968,899000,-0.052687039,0.058892815,682.306338028,0.137177230,0.178400527,"$1,100K",0.5%,8.1%,1.1,-0.2,0,45,0.0%,50.0%,10/1/2017,30,10/31/2017,0.146341463,-0.033145716,-0.228658537,Single Family Residential,"Alameda, CA",place,0.864864865,-0.006102877,0.098198198,California,CA,117
Value,,1,1.021800416,-1.2%,1.7%,Dublin,31,-27.9%,14.8%,63,6.8%,46.5%,15,6,-6,354.757525554,0.058671585,0.177731882,783950,-0.019388329,0.264435484,364.564345607,0.030367327,0.243133561,$704K,-6.3%,10.9%,2,0.6,0.4,44,-15.4%,4.8%,9/1/2013,30,9/30/2013,0.396825397,0.091740651,0.234034699,Single Family Residential,"Dublin, CA",place,0.677419355,-0.090022506,0.121863799,California,CA,5159
Value,,1,1.003228261,-0.7%,-0.3%,San Ramon,71,-12.3%,0.0%,96,12.9%,21.5%,14,-1,-1,419.164706225,-0.001573914,0.039316454,998500,0.012164217,0.051052632,420.992584141,-0.035633267,0.086474149,$950K,0.0%,8.9%,1.4,0.4,0.3,82,17.1%,34.4%,9/1/2015,30,9/30/2015,0.239583333,-0.078063725,-0.102188819,Single Family Residential,"San Ramon, CA",place,0.422535211,-0.120674665,-0.056338028,California,CA,17519
Value,,1,1.186173177,2.3%,0.9%,Berkeley,61,-6.2%,-7.6%,51,0.0%,18.6%,15,0,0,642.857142857,0.091868132,0.065789474,898000,-0.091093117,0.057714959,675.883256528,-0.075932412,-0.048479262,"$1,205K",-0.4%,0.4%,0.8,0,0.1,53,-11.7%,20.5%,8/1/2017,30,8/31/2017,0.117647059,-0.019607843,-0.184678523,Single Family Residential,"Berkeley, CA",place,0.836065574,0.005296343,0.063338301,California,CA,1590
Value,,1,1.014363847,-1.0%,-0.6%,Dublin,63,46.5%,8.6%,41,20.6%,-41.4%,12,3,2,455.169821189,0.012071531,0.067368046,1020000,-0.019134097,0.100323625,464.074074074,-0.012807235,0.079195110,$984K,-2.1%,2.9%,0.7,-0.1,-0.5,55,5.8%,-21.4%,6/1/2017,30,6/30/2017,0.243902439,-0.138450502,0.086759582,Single Family Residential,"Dublin, CA",place,0.603174603,-0.094499815,-0.017515052,California,CA,5159
Value,,1,1.024695245,0.5%,4.3%,Dublin,30,76.5%,-6.3%,22,15.8%,-57.7%,14,0,-24,318.446839784,0.036469857,0.197665097,649950,-0.057975216,0.111025641,305.951288955,0.014968728,0.109006323,$678K,-1.9%,21.9%,0.7,-0.4,-0.9,35,25.0%,-25.5%,3/1/2013,30,3/31/2013,0.090909091,-0.014354067,-0.043706294,Single Family Residential,"Dublin, CA",place,0.633333333,-0.013725490,0.289583333,California,CA,5159
Value,,1,0.961867077,-1.8%,-1.2%,Alameda,19,58.3%,35.7%,72,0.0%,-15.3%,56,11,-52,318.214032601,-0.059368229,-0.077890804,530000,-0.085418464,-0.123966942,320,0.023534722,-0.146243018,$510K,-10.1%,5.3%,3.8,-2.2,-2.3,31,-18.4%,-3.1%,2/1/2012,30,2/29/2012,0.291666667,0,-0.120098039,Single Family Residential,"Alameda, CA",place,0.210526316,-0.122807018,-0.003759398,California,CA,117
