Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.071049726,4.4%,3.9%,Alameda,3,50.0%,50.0%,4,33.3%,-20.0%,14,-19,2,356.818181818,-0.123874389,-0.071080850,628000,-0.114245416,0.145985401,419.580419580,-0.034238135,0.134776484,$720K,44.7%,-3.6%,1.3,-0.2,-1.2,3,0.0%,-57.1%,2/1/2015,30,2/28/2015,0.75,0.416666667,0.15,Townhouse,"Alameda, CA",place,1,0.5,0.5,California,CA,117
Value,,1,1.077181488,2.2%,7.7%,Alameda,5,66.7%,400.0%,5,25.0%,-61.5%,11,-2,-111,282.928672399,-0.029938843,0.016053844,440000,0.061519903,0.150326797,295.918367347,-0.058647439,0.273403555,$460K,17.3%,48.4%,1,-0.3,-12,4,100.0%,-33.3%,1/1/2013,30,1/31/2013,,,,Townhouse,"Alameda, CA",place,1,0.333333333,0,California,CA,117
Value,,1,1.000822940,-0.7%,-1.7%,San Ramon,9,-25.0%,80.0%,4,-69.2%,-33.3%,23,4,9,384.615384615,0.092330689,0.362600458,670000,0.038840220,0.098540744,325.552208835,-0.059039803,0.227796902,$632K,-1.0%,18.1%,0.4,-0.7,-0.8,3,-57.1%,-40.0%,12/1/2013,30,12/31/2013,0.75,0.596153846,0.583333333,Townhouse,"San Ramon, CA",place,0.444444444,0.027777778,-0.155555556,California,CA,17519
Value,,1,1.058317227,1.9%,0.6%,Alameda,5,25.0%,-37.5%,5,25.0%,150.0%,12,-34,-3,484.328358209,0.154233910,0.169408112,725000,0.052249637,0.067746686,451.162790698,-0.029272318,-0.010461828,$760K,7.6%,5.0%,1,0,0.7,5,-28.6%,25.0%,2/1/2017,30,2/28/2017,0.2,,-0.3,Townhouse,"Alameda, CA",place,0.8,0.3,0.175,California,CA,117
Value,,1,0.999764165,-1.0%,3.0%,Alameda,9,-10.0%,12.5%,6,-14.3%,-75.0%,55,39,-25,297.339441244,0.033376419,0.079769245,459000,0.233870968,0.243902439,299.801783944,0.134936314,0.332963795,$385K,11.7%,-1.3%,0.7,0,-2.3,8,60.0%,-11.1%,8/1/2012,30,8/31/2012,,,,Townhouse,"Alameda, CA",place,0.444444444,0.044444444,0.319444444,California,CA,117
Value,,1,1.040430902,1.4%,-6.4%,Oakland,7,-41.7%,-22.2%,13,8.3%,-18.8%,32,17,11,306.368068098,-0.138765320,0.016139742,569000,-0.185979971,-0.115773116,260.821309656,-0.297978344,-0.040080077,$448K,-18.9%,16.1%,1.9,0.9,0.100000000,12,9.1%,0.0%,8/1/2014,30,8/31/2014,0.153846154,,,Townhouse,"Oakland, CA",place,0.714285714,-0.035714286,0.047619048,California,CA,13654
Value,,1,1.043680472,-3.4%,6.3%,Alameda,3,-40.0%,-50.0%,6,20.0%,-64.7%,15,4,-53,319.402985075,0.128916989,0.318776048,428000,-0.027272727,0.129287599,297.324083251,0.004750350,0.055716184,$465K,1.1%,26.3%,2,1,-0.8,5,25.0%,-44.4%,2/1/2013,30,2/28/2013,,,,Townhouse,"Alameda, CA",place,1,0,1,California,CA,117
Value,,1,0.998956829,1.9%,2.2%,Alameda,8,33.3%,0.0%,15,-11.8%,-31.8%,14,-54,-10,269.911504425,0.114431749,0.049482497,372000,-0.018469657,-0.124705882,270.738216824,-0.038682928,0.122275433,$381K,3.5%,-5.9%,1.9,-0.9,-0.9,7,-22.2%,40.0%,3/1/2012,30,3/31/2012,0.2,0.082352941,-0.390909091,Townhouse,"Alameda, CA",place,0.25,0.25,0.125,California,CA,117
Value,,1,1.026641875,1.0%,-0.7%,Dublin,3,-25.0%,-50.0%,8,100.0%,-20.0%,7,-26,-7,377.861223756,-0.040193985,0.133170121,599000,-0.001480276,0.198268412,401.315789474,0.046808689,0.154253866,$610K,18.3%,13.5%,2.7,1.7,1,14,55.6%,100.0%,2/1/2015,30,2/28/2015,0.125,,,Townhouse,"Dublin, CA",place,0.666666667,-0.083333333,-0.333333333,California,CA,5159
Value,,1,1.018713120,1.6%,-0.9%,Fremont,10,-41.2%,-23.1%,15,87.5%,36.4%,17,-3,1,535.103777439,0.027036307,0.036881838,734944,-0.081318852,-0.044286086,555.072463768,0.128009329,0.142524155,$752K,20.3%,8.2%,1.5,1,0.7,18,63.6%,-5.3%,1/1/2017,30,1/31/2017,0.133333333,,0.042424242,Townhouse,"Fremont, CA",place,0.8,0.329411765,0.030769231,California,CA,6671
Value,,1,0.999959310,-2.2%,-2.9%,Dublin,6,50.0%,0.0%,9,0.0%,28.6%,8,-31,-5,415.701559020,-0.002693360,0.036885078,665000,0.007575758,-0.002998501,444.450087405,-0.084238789,0.040663619,$621K,3.0%,-5.3%,1.5,-0.8,0.3,9,-18.2%,-25.0%,2/1/2017,30,2/28/2017,0.222222222,,0.079365079,Townhouse,"Dublin, CA",place,0.666666667,-0.083333333,-0.333333333,California,CA,5159
Value,,1,1.073233963,-8.7%,3.4%,Oakland,9,28.6%,-10.0%,10,-28.6%,-37.5%,16,-8,-18,192.937072206,-0.310352593,-0.431376119,262000,-0.343358396,-0.337547408,336.372847011,0.244207851,0.792903757,$435K,-14.7%,63.5%,1.1,-0.9,-0.5,8,-11.1%,-20.0%,7/1/2013,30,7/31/2013,0.3,0.228571429,0.1125,Townhouse,"Oakland, CA",place,0.777777778,0.063492063,0.177777778,California,CA,13654
Value,,1,1.030385370,-3.6%,-7.2%,Alameda,7,-12.5%,75.0%,10,42.9%,100.0%,15,-13,1,352.904040404,0.013431381,0.056710775,559000,-0.050933786,0.064761905,351.368970013,-0.077643199,0.094020004,$575K,-2.5%,11.4%,1.4,0.5,0.100000000,11,37.5%,57.1%,5/1/2014,30,5/31/2014,0.1,-0.042857143,-0.1,Townhouse,"Alameda, CA",place,0.428571429,-0.321428571,-0.571428571,California,CA,117
