Date,"Berkeley, CA","Oakland, CA","Emeryville, CA","Dublin, CA","San Ramon, CA","Fremont, CA"
2014-01-31,26.05,18.06,16.03,20.25,21.85,23.67
2014-02-28,25.83,18.26,15.99,20.35,21.79,23.46
2014-03-31,25.8,18.45,16.07,20.34,21.83,23.27
2014-04-30,25.71,18.88,16.32,20.67,21.85,23.52
2014-05-31,25.61,19.15,16.11,20.91,22.1,23.61
2014-06-30,25.42,19.18,15.95,21.12,22.03,23.73
2014-07-31,23.4,18.54,15.35,20.83,21.65,23.15
2014-08-31,22.41,18.06,15.13,20.59,21.2,22.97
2014-09-30,21.68,17.62,15.12,20.41,21.03,22.78
2014-10-31,21.04,17.39,15.03,20.6,20.86,22.82
2014-11-30,21.04,17.17,14.94,20.66,20.91,22.86
2014-12-31,21.16,16.99,14.81,20.58,21.05,22.73
2015-01-31,21.44,16.93,14.58,20.34,21.06,22.55
2015-02-28,21.81,16.97,14.45,20.17,20.91,22.53
2015-03-31,21.91,17.25,14.25,20.17,20.92,22.66
2015-04-30,21.76,17.22,14.26,20.09,20.78,22.7
2015-05-31,22.23,17.31,14.33,20.01,20.56,22.58
2015-06-30,21.97,17.29,14.18,19.88,20.36,22.29
2015-07-31,21.98,17.35,14.08,19.79,20.26,22.27
2015-08-31,22.01,17.42,13.94,19.83,20.39,22.5
2015-09-30,21.9,17.5,13.98,19.93,20.61,22.75
2015-10-31,21.83,17.58,14.16,20.14,20.88,23.01
2015-11-30,21.83,17.61,14.3,20.32,21.17,23.26
2015-12-31,21.51,17.61,14.68,20.1,21.14,23.03
2016-01-31,21.74,17.68,14.72,20.21,21.11,23.16
2016-02-29,21.98,17.68,14.78,20.26,21.15,23.25
2016-03-31,22.12,17.67,14.99,20.18,21.06,23.19
2016-04-30,21.76,17.59,15.21,19.99,21.01,22.99
2016-05-31,21.81,17.86,15.69,20.14,20.97,23.05
2016-06-30,21.55,17.72,15.57,20.12,20.78,22.87
2016-07-31,21.33,17.62,15.26,20.14,20.65,22.84
2016-08-31,21.43,17.7,15.37,20.24,20.72,23.04
2016-09-30,21.67,17.85,15.61,20.45,20.98,23.25
2016-10-31,21.95,18.0,15.85,20.62,21.25,23.44
2016-11-30,22.43,18.17,16.05,20.9,21.65,23.83
2016-12-31,23.04,18.3,16.18,21.06,21.99,24.2
2017-01-31,23.65,18.43,16.16,21.15,22.14,24.49
2017-02-28,24.17,18.6,16.19,21.24,22.27,24.73
2017-03-31,24.71,18.75,16.09,21.39,22.4,24.89
2017-04-30,24.81,18.83,16.37,21.35,22.4,24.93
2017-05-31,24.65,19.0,16.57,21.3,22.22,24.96
2017-06-30,24.74,19.06,16.75,21.27,21.93,24.97
2017-07-31,24.9,19.06,16.68,21.3,21.81,24.99
2017-08-31,24.98,18.9,16.76,21.32,21.78,25.02
2017-09-30,25.13,19.01,16.98,21.39,21.9,25.29
2017-10-31,25.28,19.16,17.16,21.62,22.14,25.51
2017-11-30,26.12,19.42,17.32,21.94,22.24,25.82
2017-12-31,26.73,19.6,17.64,22.34,22.31,26.24
2018-01-31,27.15,19.78,17.66,22.55,22.28,26.51
2018-02-28,27.47,19.83,17.55,22.51,22.64,26.62
2018-03-31,28.7,20.58,18.39,23.23,23.0,27.91
2018-04-30,28.92,20.62,18.31,23.29,23.37,28.12
2018-05-31,29.47,21.15,18.86,23.94,23.44,29.3
2018-06-30,29.1,21.0,18.83,23.92,23.72,29.44
